Station  Lat(+N,deg)  Lon(+E,deg)  E Displacement  N Displacement  V Displacement  Sigma E  Sigma N  Sigma U 
ROGM      -10.7842      -65.3306      -3.56820356      34.21261697      -20.37895378      0.77406452      0.67841935      2.94954839
LCUZ      -13.5204      -71.9593      11.51879483      30.22168232      -8.96822618      3.2177      2.5071      10.34033333
LAYA      -13.1537      -74.2061      10.38901364      20.99750753      -4.86755849      1.65107143      1.42114286      6.70857143
LHYO      -12.0424      -75.3214      17.34733589      27.67313949      -5.7352617      1.38952941      1.179      5.37582353
BN11      -45.572      -72.0686      -0.71761182      -4.79030549      -1.17864488      0.79245161      1.09993548      3.59790323
ITAI      -25.4207      -54.5883      16.51716918      -53.49147179      1.77599867      0.81310345      0.81551724      3.49548276
CIFU      -25.6526      -70.647      -142.79251522      -97.12028309      9.83049942      1.09903226      0.91422581      4.55151613
ZPLA      -38.9064      -70.0669      15.99681332      -46.37647505      2.36891107      0.7813125      0.9546875      3.135375
CHPG      -22.6823      -45.0024      7.97803767      -29.50701219      -1.025622      0.8036129      0.75590323      3.37690323
SAGA      -0.1439      -67.0578      -0.32151513      4.65961181      -3.30806513      1.11025806      1.19519355      5.91054839
LARJ      -29.4145      -66.8507      -3.9382304      -35.79642635      0.84324636      0.71193548      0.76564516      2.99258065
MABS      -7.5338      -46.0397      -4.67751152      4.04619597      8.28597221      0.99070968      0.90893548      4.76612903
RIO2      -53.7855      -67.7511      6.22797108      13.38556769      0.10710499      0.67258065      0.96009677      2.79512903
SPBO      -22.8525      -48.4323      6.62541984      -20.73831642      0.41573777      0.89954839      0.828      4.246
NOY1      -32.3837      -59.7949      3.47689896      -46.82419589      -10.47753246      0.70893548      0.78745161      3.04845161
CBAA      -22.7464      -68.4481      25.80632865      25.2433132      -1.60283038      0.754      0.72332258      3.07109677
SOCM      -24.4546      -68.2952      -0.65129393      0.32864416      -0.89299518      0.87351613      0.85274194      3.89390323
BCAR      -37.7612      -58.3011      1.45262929      -4.78020835      -4.77433651      0.98846154      1.21369231      4.23192308
MGUB      -18.9192      -48.256      -4.38375055      4.71533278      9.18918923      1.77809091      1.42386364      8.21281818
UYLP      -34.6557      -54.1421      5.699115      -28.0990034      -0.44846581      0.8077931      0.9582069      3.61382759
UNPA      -51.648      -69.2087      -3.0995959      -13.79974387      4.52467458      0.63283871      0.90267742      2.64145161
CGTC      -20.1771      -70.069      -14.91457696      -8.46901241      -4.02557162      0.74816129      0.70745161      2.97951613
SL01      -33.1564      -66.314      2.15133647      -1.80289323      -3.01937165      0.69090323      0.78103226      2.84232258
SPTU      -21.9291      -50.4924      7.60652392      -32.08574312      -9.12117247      0.75383871      0.72048387      3.12590323
AREQ      -16.4655      -71.4928      8.84170189      14.20460067      -2.27984827      1.37674194      1.15574194      6.12806452
MTV2      -34.9136      -56.1763      8.8538046      -39.71279603      -2.91311388      0.71709677      0.84632258      3.10790323
RSPE      -31.8024      -52.4176      2.94405589      -11.64559797      -2.8421921      0.69412903      0.78845161      2.92135484
BRAZ      -15.9475      -47.8779      -4.78338414      15.58641728      -4.02511578      0.84106452      0.76403226      3.632
GGPA      -0.1804      -78.5937      17.45125352      25.60025877      -0.07397822      1.61446429      1.58210714      7.86514286
TAVA      -26.853      -65.71      -8.9515253      -23.07062371      -6.71102729      1.41151613      1.47587097      7.22193548
MZRF      -34.6124      -68.3315      22.37994291      -45.01004111      -16.85942936      1.38473684      1.55378947      6.58531579
TEN1      -0.99      -77.8164      -5.75406008      15.3770818      -4.62605618      0.81803226      0.71332258      3.121
LIEC      0.7946      -78.3609      -5.94926089      -31.27956858      0.24088544      0.82      0.72846667      3.17163333
CHOY      -34.8981      -60.0194      7.20447508      -36.23014178      -6.81183556      0.71806452      0.83535484      3.11329032
SPBP      -22.9256      -46.5345      6.27424509      -39.87747927      -4.15059166      0.91203571      0.86060714      3.77807143
CJNT      -23.0275      -67.7606      24.35699115      34.25897169      -4.04021531      0.8335      0.81794444      3.52994444
COR5      -19.0003      -57.6296      16.08062016      -51.3664566      -2.61514683      0.72985714      0.69121429      2.94364286
CUC1      7.9323      -72.5128      -4.11680569      -7.64031605      2.85182389      0.92677419      0.80732258      3.6506129
POAL      -30.074      -51.1198      -2.95687996      13.11993985      -1.62670423      0.77432258      0.83935484      3.30651613
UYRO      -34.001      -53.5548      0.83434448      -6.30987492      -1.60386472      0.83165217      0.96830435      3.75621739
PEJ1      -35.8063      -61.8946      -3.97179876      5.4353052      -9.61030536      1.36862069      1.52862069      6.22893103
IRSC      -52.8574      -71.5699      -19.34864038      -43.30919983      8.35229605      0.65309677      0.94222581      2.78341935
BN02      -23.6685      -70.405      1.53161069      -0.01448864      0.71320005      0.8473      0.80693333      3.54093333
SPLI      -21.6652      -49.7337      6.59584243      -34.74908379      -10.07661392      0.828      0.78658065      3.52541935
MABA      -5.3624      -49.1223      3.80601953      6.40192678      -2.32285364      1.00680645      0.89387097      4.151
MSDR      -22.1941      -54.9304      7.13937124      -27.70508769      -5.2952661      0.7443871      0.72893548      3.10041935
LCOR      -27.4671      -58.831      -3.77230538      17.18289299      -3.38658225      1.16661111      1.19727778      5.18
CHZO      -1.4668      -78.7757      -22.14292915      71.25196013      -11.3502521      2.9825      1.84      10.733
PUIN      3.8512      -67.9033      -0.58625542      2.65424773      -4.79492404      0.77841935      0.69025806      2.95751613
FOSA      -26.1913      -58.1708      8.50298145      -51.3519923      -18.50255891      0.71725806      0.74016129      2.99583871
JRGN      -23.2889      -70.5749      45.6433847      31.01770504      -4.34977941      0.75777419      0.73845161      3.097
UYSG      -32.6174      -55.8436      6.56123719      -33.57574482      -5.68290113      0.79309677      0.90032258      3.4803871
UYTD      -30.9463      -57.5245      8.46380335      -33.90823512      -6.58903313      0.81790323      0.90458065      3.66716129
ESMR      0.9346      -79.7244      10.88028357      8.38004285      -2.88529522      1.12883871      1.00445161      4.82406452
TPYU      -44.4209      -72.6481      -7.4416455      -25.58859202      0.68769952      1.48722581      2.04951613      8.48680645
SPPI      -22.703      -47.6236      -5.35398763      14.25662528      -2.83451808      1.8558      1.6424      8.9612
SPFR      -20.5106      -47.3866      10.92910965      -38.75462853      -4.35182434      0.75067742      0.71345161      3.06167742
